rank,ok,mode,b_layout,sign_mode,mma_sm,out_dtype,max_abs,max_rel,mean_abs,matched_ratio,error
1,True,MN,rowmajor_physical,raw,1,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
2,True,MN,rowmajor_physical,raw,2,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
3,True,K,rowmajor_physical,raw,1,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
4,True,K,rowmajor_physical,raw,2,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
5,True,MN,rowmajor_physical,fold_operand_signs,1,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
6,True,MN,rowmajor_physical,fold_operand_signs,2,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
7,True,K,rowmajor_physical,fold_operand_signs,1,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
8,True,K,rowmajor_physical,fold_operand_signs,2,float16,0.125,0.015473809093236923,3.579964322852902e-05,1.0,
9,True,MN,rowmajor_physical,raw,1,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
10,True,MN,rowmajor_physical,raw,2,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
11,True,K,rowmajor_physical,raw,1,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
12,True,K,rowmajor_physical,raw,2,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
13,True,MN,rowmajor_physical,fold_operand_signs,1,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
14,True,MN,rowmajor_physical,fold_operand_signs,2,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
15,True,K,rowmajor_physical,fold_operand_signs,1,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
16,True,K,rowmajor_physical,fold_operand_signs,2,bfloat16,0.25,0.015503796748816967,1.0861882401513867e-05,1.0,
17,True,MN,colmajor_physical,raw,1,float16,576.25,42909.74609375,86.84791564941406,0.0035923549107143016,
18,True,MN,colmajor_physical,raw,2,float16,576.25,42909.74609375,86.84791564941406,0.0035923549107143016,
19,True,K,colmajor_physical,raw,1,float16,576.25,42909.74609375,86.84791564941406,0.0035923549107143016,
20,True,K,colmajor_physical,raw,2,float16,576.25,42909.74609375,86.84791564941406,0.0035923549107143016,
