rank,ok,mode,b_layout,sign_mode,mma_sm,out_dtype,max_abs,max_rel,mean_abs,matched_ratio,error
1,True,MN,rowmajor_physical,raw,1,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
2,True,MN,rowmajor_physical,raw,2,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
3,True,K,rowmajor_physical,raw,1,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
4,True,K,rowmajor_physical,raw,2,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
5,True,MN,rowmajor_physical,fold_operand_signs,1,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
6,True,MN,rowmajor_physical,fold_operand_signs,2,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
7,True,K,rowmajor_physical,fold_operand_signs,1,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
8,True,K,rowmajor_physical,fold_operand_signs,2,bfloat16,0.0009765625,0.006060605403035879,2.5331974029541016e-07,1.0,
9,True,MN,rowmajor_physical,raw,1,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
10,True,MN,rowmajor_physical,raw,2,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
11,True,K,rowmajor_physical,raw,1,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
12,True,K,rowmajor_physical,raw,2,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
13,True,MN,rowmajor_physical,fold_operand_signs,1,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
14,True,MN,rowmajor_physical,fold_operand_signs,2,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
15,True,K,rowmajor_physical,fold_operand_signs,1,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
16,True,K,rowmajor_physical,fold_operand_signs,2,float16,0.125,0.004326659720391035,3.89833003282547e-05,1.0,
17,True,MN,colmajor_physical,abs_scale_only,1,float16,411.5,13064.451171875,74.84123229980469,0.00390625,
18,True,MN,colmajor_physical,abs_scale_only,2,float16,411.5,13064.451171875,74.84123229980469,0.00390625,
19,True,K,colmajor_physical,abs_scale_only,1,float16,411.5,13064.451171875,74.84123229980469,0.00390625,
20,True,K,colmajor_physical,abs_scale_only,2,float16,411.5,13064.451171875,74.84123229980469,0.00390625,
21,True,MN,colmajor_physical,abs_scale_only,1,bfloat16,412.0,13095.40625,74.84263610839844,0.00390625,
22,True,MN,colmajor_physical,abs_scale_only,2,bfloat16,412.0,13095.40625,74.84263610839844,0.00390625,
23,True,K,colmajor_physical,abs_scale_only,1,bfloat16,412.0,13095.40625,74.84263610839844,0.00390625,
24,True,K,colmajor_physical,abs_scale_only,2,bfloat16,412.0,13095.40625,74.84263610839844,0.00390625,
25,True,MN,colmajor_physical,raw,1,bfloat16,376.0,3137.4912109375,77.75352478027344,0.0029296875,
26,True,MN,colmajor_physical,raw,2,bfloat16,376.0,3137.4912109375,77.75352478027344,0.0029296875,
27,True,K,colmajor_physical,raw,1,bfloat16,376.0,3137.4912109375,77.75352478027344,0.0029296875,
28,True,K,colmajor_physical,raw,2,bfloat16,376.0,3137.4912109375,77.75352478027344,0.0029296875,
29,True,MN,colmajor_physical,fold_operand_signs,1,bfloat16,403.0,5686.888671875,76.58364868164062,0.0029296875,
30,True,MN,colmajor_physical,fold_operand_signs,2,bfloat16,403.0,5686.888671875,76.58364868164062,0.0029296875,
31,True,K,colmajor_physical,fold_operand_signs,1,bfloat16,403.0,5686.888671875,76.58364868164062,0.0029296875,
32,True,K,colmajor_physical,fold_operand_signs,2,bfloat16,403.0,5686.888671875,76.58364868164062,0.0029296875,
33,True,MN,rowmajor_physical,abs_scale_only,1,bfloat16,432.0,1995.10302734375,77.09056091308594,0.0029296875,
34,True,MN,rowmajor_physical,abs_scale_only,2,bfloat16,432.0,1995.10302734375,77.09056091308594,0.0029296875,
35,True,K,rowmajor_physical,abs_scale_only,1,bfloat16,432.0,1995.10302734375,77.09056091308594,0.0029296875,
36,True,K,rowmajor_physical,abs_scale_only,2,bfloat16,432.0,1995.10302734375,77.09056091308594,0.0029296875,
37,True,MN,rowmajor_physical,abs_scale_only,1,float16,432.25,1995.1473388671875,77.08906555175781,0.0029296875,
38,True,MN,rowmajor_physical,abs_scale_only,2,float16,432.25,1995.1473388671875,77.08906555175781,0.0029296875,
39,True,K,rowmajor_physical,abs_scale_only,1,float16,432.25,1995.1473388671875,77.08906555175781,0.0029296875,
40,True,K,rowmajor_physical,abs_scale_only,2,float16,432.25,1995.1473388671875,77.08906555175781,0.0029296875,
41,True,MN,colmajor_physical,raw,1,float16,376.125,3138.009033203125,77.7525634765625,0.002685546875,
42,True,MN,colmajor_physical,raw,2,float16,376.125,3138.009033203125,77.7525634765625,0.002685546875,
43,True,K,colmajor_physical,raw,1,float16,376.125,3138.009033203125,77.7525634765625,0.002685546875,
44,True,K,colmajor_physical,raw,2,float16,376.125,3138.009033203125,77.7525634765625,0.002685546875,
45,True,MN,colmajor_physical,fold_operand_signs,1,float16,403.375,5688.94775390625,76.58248901367188,0.002685546875,
46,True,MN,colmajor_physical,fold_operand_signs,2,float16,403.375,5688.94775390625,76.58248901367188,0.002685546875,
47,True,K,colmajor_physical,fold_operand_signs,1,float16,403.375,5688.94775390625,76.58248901367188,0.002685546875,
48,True,K,colmajor_physical,fold_operand_signs,2,float16,403.375,5688.94775390625,76.58248901367188,0.002685546875,
