candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,tensor,storage_compute,23040.0,279.03973388671875,1071.7059326171875,0.9765625,0.7599449936224489,7,pass
hidden_dequant__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,row,storage_compute,23040.0,214.6158905029297,1001.091796875,0.9775191326530612,0.7641900510204082,7,pass
hidden_dequant__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,block,storage_compute,21696.0,162.7360382080078,1008.2180786132812,0.9782963966836735,0.7619379783163265,7,pass
swiglu_output__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,tensor,storage_compute,17408.0,38.587303161621094,709.9857788085938,0.9836176658163265,0.7793168048469388,7,pass
swiglu_output__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,row,storage_compute,17408.0,38.587303161621094,709.9857788085938,0.9836176658163265,0.7793168048469388,7,pass
swiglu_output__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,block,storage_compute,15232.0,81.96969604492188,642.4771118164062,0.9853914221938775,0.7895806760204082,7,pass
baseline__fp32,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,tensor,storage_compute,14336.0,503.35821533203125,2920.177490234375,0.9126674107142857,0.1480189732142857,3,pass
hidden_dequant__fp8__row,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,row,storage_compute,14336.0,503.35821533203125,2920.177490234375,0.9126674107142857,0.1480189732142857,3,pass
hidden_dequant__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,block,storage_compute,12668.0,400.92041015625,2434.829833984375,0.9294084821428571,0.1792689732142857,3,pass
swiglu_output__fp8__tensor,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,fp8,tensor,storage_compute,10368.0,79.3503646850586,1980.775146484375,0.9368024553571429,0.2220982142857143,3,pass
swiglu_output__fp8__row,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,fp8,row,storage_compute,10368.0,79.3503646850586,1980.775146484375,0.9368024553571429,0.2220982142857143,3,pass
swiglu_output__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,fp8,block,storage_compute,7680.0,123.17910766601562,1608.6822509765625,0.9486607142857143,0.2700892857142857,3,pass
baseline__fp32,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,fp8,tensor,storage_compute,24064.0,3525.923095703125,1127.0189208984375,0.9681352887834821,0.660858154296875,22,pass
hidden_dequant__fp8__row,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,fp8,row,storage_compute,25344.0,1731.923095703125,1150.05615234375,0.967498779296875,0.6603262765066964,22,pass
hidden_dequant__fp8__block,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,fp8,block,storage_compute,22528.0,3071.0,1111.3953857421875,0.9687717982700893,0.6620003836495536,22,pass
swiglu_output__fp8__tensor,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,swiglu_output,fp8,tensor,storage_compute,17368.0,1192.1826171875,784.0565795898438,0.977996826171875,0.6886640276227678,22,pass
swiglu_output__fp8__row,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,swiglu_output,fp8,row,storage_compute,17368.0,977.8421020507812,767.7380981445312,0.9781494140625,0.6904296875,22,pass
swiglu_output__fp8__block,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,swiglu_output,fp8,block,storage_compute,13524.0,1450.40869140625,704.433349609375,0.9800284249441964,0.6984165736607143,22,pass
baseline__fp32,single_stage,4,1a4c6ba1-3cd2-4d7d-b716-84f2d52b69fc,901,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,4,1a4c6ba1-3cd2-4d7d-b716-84f2d52b69fc,901,hidden_dequant,fp8,tensor,storage_compute,35840.0,271973.28125,1660.1015625,0.9504314402647852,0.4730438092100048,32,pass
hidden_dequant__fp8__row,single_stage,4,1a4c6ba1-3cd2-4d7d-b716-84f2d52b69fc,901,hidden_dequant,fp8,row,storage_compute,32768.0,181590.265625,1654.3570556640625,0.9504535820814175,0.4732237308248771,32,pass
hidden_dequant__fp8__block,single_stage,4,1a4c6ba1-3cd2-4d7d-b716-84f2d52b69fc,901,hidden_dequant,fp8,block,storage_compute,31808.0,208896.921875,1622.4727783203125,0.951894813054939,0.4742772477505153,32,pass
