candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,tensor,storage_compute,21504.0,673.0,1139.5640869140625,0.9774194834183674,0.7607023278061225,7,pass
hidden_dequant__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,row,storage_compute,26240.0,587.7999877929688,1121.191162109375,0.9779376594387755,0.7618981186224489,7,pass
hidden_dequant__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,block,storage_compute,22016.0,587.7999877929688,1078.0233154296875,0.9791733099489796,0.7628746811224489,7,pass
swiglu_output__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,tensor,storage_compute,16384.0,1146.5999755859375,783.0366821289062,0.984733737244898,0.780891262755102,7,pass
swiglu_output__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,row,storage_compute,16384.0,1146.5999755859375,783.0366821289062,0.984733737244898,0.780891262755102,7,pass
swiglu_output__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,block,storage_compute,16064.0,431.0,695.3675537109375,0.9861088966836735,0.7895806760204082,7,pass
baseline__fp32,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,tensor,storage_compute,17664.0,570.7333374023438,2981.8857421875,0.9248046875,0.1681082589285714,3,pass
hidden_dequant__fp8__row,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,row,storage_compute,17664.0,570.7333374023438,2981.8857421875,0.9248046875,0.1681082589285714,3,pass
