candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,bf16,none,storage_compute,2048.0,22.106382369995117,61.07400894165039,0.9984654017857143,0.9572106186224489,7,pass
hidden_dequant__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,f16,none,storage_compute,2048.0,3.9824562072753906,7.132279872894287,0.9997608418367347,0.9943000637755102,7,pass
gemm1_operands__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,bf16,none,storage_compute,2048.0,42.543861389160156,88.36701965332031,0.9977678571428571,0.9388153698979592,7,pass
gemm1_operands__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,f16,none,storage_compute,2048.0,5.893617153167725,10.804290771484375,0.9996611926020408,0.9923867984693877,7,pass
gemm1_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,bf16,none,storage_compute,7680.0,171.6666717529297,324.7664489746094,0.9930843431122449,0.8382892219387755,7,pass
gemm1_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,f16,none,storage_compute,2048.0,29.601770401000977,40.31745147705078,0.9989437181122449,0.9711017219387755,7,pass
gemm1_output__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,bf16,none,storage_compute,2048.0,59.822696685791016,61.158302307128906,0.9987045599489796,0.9582071109693877,7,pass
gemm1_output__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,f16,none,storage_compute,2048.0,2.702127695083618,6.99169921875,0.9997409119897959,0.9950972576530612,7,pass
swiglu_input__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,bf16,none,storage_compute,2048.0,59.822696685791016,61.158302307128906,0.9987045599489796,0.9582071109693877,7,pass
swiglu_input__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,f16,none,storage_compute,2048.0,2.702127695083618,6.99169921875,0.9997409119897959,0.9950972576530612,7,pass
swiglu_output__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,bf16,none,storage_compute,2048.0,22.82978630065918,42.924983978271484,0.9987444196428571,0.9699059311224489,7,pass
swiglu_output__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,f16,none,storage_compute,2048.0,8.078014373779297,5.197988510131836,0.9998206313775511,0.9961336096938775,7,pass
gemm2_operands__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,bf16,none,storage_compute,2048.0,60.27659606933594,61.37158966064453,0.9983258928571429,0.9575095663265306,7,pass
gemm2_operands__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,f16,none,storage_compute,2048.0,6.829787254333496,8.001325607299805,0.9997010522959183,0.9945392219387755,7,pass
gemm2_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,bf16,none,storage_compute,4096.0,47.28070068359375,117.71632385253906,0.9976482780612245,0.9291095344387755,7,pass
gemm2_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,f16,none,storage_compute,nan,nan,nan,0.9135841836734694,0.9135841836734694,7,pass
out_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,bf16,none,storage_compute,2048.0,23.77876091003418,40.303131103515625,0.9994220344387755,0.9810666454081632,7,pass
out_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,f16,none,storage_compute,inf,inf,inf,0.7929089604591837,0.7919323979591837,7,catastrophic_outlier
baseline__fp32,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,bf16,none,storage_compute,2048.0,19.27225112915039,152.3287811279297,0.9945591517857143,0.8583984375,3,pass
hidden_dequant__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,f16,none,storage_compute,1024.0,4.441176414489746,18.8820743560791,0.9994419642857143,0.9768415178571429,3,pass
gemm1_operands__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands,bf16,none,storage_compute,2048.0,19.848167419433594,219.18063354492188,0.9921875,0.7960379464285714,3,pass
gemm1_operands__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands,f16,none,storage_compute,1024.0,2.5,29.055665969848633,0.9991629464285714,0.9673549107142857,3,pass
gemm1_accumulator__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_accumulator,bf16,none,storage_compute,4864.0,270.40313720703125,881.9560546875,0.9705636160714286,0.4271763392857143,3,pass
gemm1_accumulator__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_accumulator,f16,none,storage_compute,2048.0,24.2879581451416,110.97746276855469,0.99609375,0.892578125,3,pass
gemm1_output__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_output,bf16,none,storage_compute,2048.0,9.411765098571777,164.27743530273438,0.9946986607142857,0.8483537946428572,3,pass
gemm1_output__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_output,f16,none,storage_compute,1024.0,4.623036861419678,20.0542049407959,0.9993024553571429,0.9793526785714286,3,pass
swiglu_input__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_input,bf16,none,storage_compute,2048.0,9.411765098571777,164.27743530273438,0.9946986607142857,0.8483537946428572,3,pass
swiglu_input__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_input,f16,none,storage_compute,1024.0,4.623036861419678,20.0542049407959,0.9993024553571429,0.9793526785714286,3,pass
swiglu_output__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,bf16,none,storage_compute,2048.0,41.879581451416016,112.81182861328125,0.9969308035714286,0.8890904017857143,3,pass
swiglu_output__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,f16,none,storage_compute,1024.0,3.534031391143799,14.73604965209961,0.9995814732142857,0.9850725446428571,3,pass
gemm2_operands__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_operands,bf16,none,storage_compute,2048.0,72.03665161132812,162.8801727294922,0.9945591517857143,0.8503069196428572,3,pass
gemm2_operands__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_operands,f16,none,storage_compute,1024.0,6.989528656005859,18.87560272216797,0.9991629464285714,0.9801897321428571,3,pass
gemm2_accumulator__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_accumulator,bf16,none,storage_compute,2048.0,36.05882263183594,328.2746276855469,0.9909319196428571,0.7385602678571428,3,pass
gemm2_accumulator__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_accumulator,f16,none,storage_compute,nan,nan,nan,0.6869419642857143,0.6868024553571428,3,global_drift
out_accumulator__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,out_accumulator,bf16,none,storage_compute,2048.0,14.916230201721191,100.11560821533203,0.9983258928571429,0.9296875,3,pass
out_accumulator__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,out_accumulator,f16,none,storage_compute,inf,inf,inf,0.4282924107142857,0.4234095982142857,3,catastrophic_saturation
baseline__fp32,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__bf16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,bf16,none,storage_compute,2048.0,76.42857360839844,70.02403259277344,0.9979814801897321,0.9377049037388393,22,pass
hidden_dequant__f16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,f16,none,storage_compute,2048.0,25.095237731933594,8.669883728027344,0.999755859375,0.9919913155691964,22,pass
gemm1_operands__bf16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands,bf16,none,storage_compute,2048.0,147.02816772460938,99.85768127441406,0.9969961983816964,0.9127110072544643,22,pass
gemm1_operands__f16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands,f16,none,storage_compute,2048.0,17.952381134033203,12.293126106262207,0.9996337890625,0.9886866978236607,22,pass
gemm1_accumulator__bf16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_accumulator,bf16,none,storage_compute,6912.0,360.71282958984375,359.27130126953125,0.9891924176897321,0.7699192592075893,22,pass
gemm1_accumulator__f16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_accumulator,f16,none,storage_compute,2048.0,49.45070266723633,44.67021942138672,0.9986485072544643,0.9595162527901786,22,pass
gemm1_output__bf16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_output,bf16,none,storage_compute,2048.0,138.1589813232422,70.1145248413086,0.9978812081473214,0.9373822893415179,22,pass
