candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,block,storage_compute,15360.0,2620.89013671875,755.60107421875,0.9791932397959183,0.7621970663265306,7,pass
gemm1_operands__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,f16,none,storage_compute,2048.0,36.978023529052734,8.573835372924805,0.9995615433673469,0.9927455357142857,7,pass
gemm1_output__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,fp8,tensor,storage_compute,15360.0,3073.0,753.4109497070312,0.9790935905612245,0.7628547512755102,7,pass
swiglu_input__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,fp8,block,storage_compute,16384.0,15304.736328125,767.6917724609375,0.9785554846938775,0.763412786989796,7,pass
swiglu_output__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,block,storage_compute,9472.0,5244.7802734375,474.9863586425781,0.9871053890306123,0.788444674744898,7,pass
gemm2_operands__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,fp8,block,storage_compute,12544.0,9273.263671875,721.705322265625,0.9794921875,0.765365911989796,7,pass
gemm2_accumulator__bf16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,bf16,none,storage_compute,3072.0,726.8021850585938,91.1292953491211,0.9976084183673469,0.9292490433673469,7,pass
out_accumulator__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,fp8,tensor,storage_compute,34816.0,2397.835205078125,717.67138671875,0.9907724808673469,0.7605628188775511,7,pass
gemm1_accumulator__f16,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,f16,none,storage_compute,2048.0,95.24176025390625,31.539026260375977,0.9990832270408163,0.9712213010204082,7,pass
baseline__fp32,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant,fp8,block,storage_compute,12288.0,1872.6171875,2501.8857421875,0.9165736607142857,0.1485770089285714,3,pass
gemm1_operands__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands,f16,none,storage_compute,1024.0,10.177033424377441,26.367650985717773,0.9987444196428571,0.9714006696428571,3,pass
gemm1_output__fp8__tensor,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_output,fp8,tensor,storage_compute,15872.0,288.8468933105469,2504.31298828125,0.9132254464285714,0.1522042410714286,3,pass
swiglu_input__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_input,fp8,block,storage_compute,13312.0,3999.009521484375,2328.28173828125,0.9261997767857143,0.1711774553571429,3,pass
swiglu_output__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,swiglu_output,fp8,block,storage_compute,9312.0,1263.0765380859375,1550.8731689453125,0.9475446428571429,0.2434430803571429,3,pass
gemm2_operands__fp8__block,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_operands,fp8,block,storage_compute,14336.0,1566.846923828125,2245.99853515625,0.9235491071428571,0.1727120535714286,3,pass
gemm2_accumulator__bf16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm2_accumulator,bf16,none,storage_compute,2048.0,598.7416381835938,283.6258544921875,0.9909319196428571,0.7385602678571428,3,pass
out_accumulator__fp8__tensor,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,out_accumulator,fp8,tensor,storage_compute,23552.0,263.57415771484375,2074.547119140625,0.9681919642857143,0.1674107142857143,3,pass
gemm1_accumulator__f16,single_stage,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_accumulator,f16,none,storage_compute,1024.0,51.976078033447266,103.93770599365234,0.9966517857142857,0.8879743303571429,3,pass
baseline__fp32,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__block,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,hidden_dequant,fp8,block,storage_compute,20480.0,2093.758056640625,1123.6458740234375,0.9688459123883929,0.6612984793526786,22,pass
gemm1_operands__f16,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands,f16,none,storage_compute,2048.0,34.168949127197266,12.795557022094727,0.9996468680245536,0.9884512765066964,22,pass
gemm1_output__fp8__tensor,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_output,fp8,tensor,storage_compute,27648.0,1214.081298828125,1144.6788330078125,0.9678083147321429,0.66119384765625,22,pass
swiglu_input__fp8__block,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,swiglu_input,fp8,block,storage_compute,24064.0,1151.0,1096.241943359375,0.9697527204241071,0.6638532366071428,22,pass
swiglu_output__fp8__block,single_stage,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,swiglu_output,fp8,block,storage_compute,13312.0,1654.23291015625,705.1716918945312,0.9795183454241071,0.6993451799665178,22,pass
