candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
hidden_dequant__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,tensor,storage_compute,12288.0,508.3193664550781,681.4231567382812,0.9773198341836735,0.7577925701530612,7,pass
hidden_dequant__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,row,storage_compute,13376.0,291.1884765625,668.9664916992188,0.9769013073979592,0.760483099489796,7,pass
hidden_dequant__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,block,storage_compute,13312.0,114.38027954101562,674.4219970703125,0.9768415178571429,0.7600446428571428,7,pass
gemm1_operands__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,fp8,tensor,storage_compute,17152.0,454.7068176269531,964.591552734375,0.9659797512755102,0.7467514349489797,7,pass
gemm1_operands__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,fp8,row,storage_compute,18944.0,292.52880859375,939.1206665039062,0.9677734375,0.7475087691326531,7,pass
gemm1_operands__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,fp8,block,storage_compute,18176.0,327.376953125,936.689208984375,0.9684709821428571,0.7475286989795918,7,pass
gemm1_output__fp8__tensor,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,fp8,tensor,storage_compute,12544.0,279.1256408691406,650.2245483398438,0.977897799744898,0.7603236607142857,7,pass
gemm1_output__fp8__row,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,fp8,row,storage_compute,12544.0,279.1256408691406,650.2245483398438,0.977897799744898,0.7603236607142857,7,pass
gemm1_output__fp8__block,single_stage,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_output,fp8,block,storage_compute,12288.0,108.22512817382812,591.7509155273438,0.9785953443877551,0.7665417729591837,7,pass
