candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
best_recipe,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant+gemm1_operands+gemm1_output,fp8+f16+fp8,block+none+tensor,storage_compute+storage_compute+storage_compute,28672.0,1256.5438232421875,1411.3812255859375,0.9686503507653061,0.7465122767857143,7,pass
swap_g1out_for_swiglu,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant+gemm1_operands+swiglu_output,fp8+f16+fp8,block+none+block,storage_compute+storage_compute+storage_compute,25600.0,107.66187286376953,1175.0799560546875,0.9734733737244898,0.754165338010204,7,pass
swap_g1out_for_g2in,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant+gemm1_operands+gemm2_operands,fp8+f16+fp8,block+none+block,storage_compute+storage_compute+storage_compute,27648.0,344.8245544433594,1362.1278076171875,0.9704241071428571,0.7491828762755102,7,pass
swap_g1out_for_outacc,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant+gemm1_operands+out_accumulator,fp8+f16+fp8,block+none+tensor,storage_compute+storage_compute+storage_compute,47104.0,1195.6666259765625,1396.3660888671875,0.9748086734693877,0.7469108737244898,7,pass
post_g1_chain,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,f16+fp8+fp8+fp8,none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute,51200.0,484.0526428222656,1338.2205810546875,0.9770208864795918,0.7472496811224489,7,pass
best_recipe,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant+gemm1_operands+gemm1_output,fp8+f16+fp8,block+none+tensor,storage_compute+storage_compute+storage_compute,15360.0,73.96414184570312,2800.453857421875,0.8963448660714286,0.1195591517857143,3,catastrophic_outlier
swap_g1out_for_swiglu,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant+gemm1_operands+swiglu_output,fp8+f16+fp8,block+none+block,storage_compute+storage_compute+storage_compute,17312.0,62.62963104248047,2406.36181640625,0.9114118303571429,0.1402064732142857,3,pass
swap_g1out_for_g2in,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant+gemm1_operands+gemm2_operands,fp8+f16+fp8,block+none+block,storage_compute+storage_compute+storage_compute,20256.0,63.35897445678711,2835.286376953125,0.8942522321428571,0.1149553571428571,3,catastrophic_outlier
swap_g1out_for_outacc,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant+gemm1_operands+out_accumulator,fp8+f16+fp8,block+none+tensor,storage_compute+storage_compute+storage_compute,20480.0,42.85657501220703,2840.3935546875,0.9161551339285714,0.1083984375,3,pass
post_g1_chain,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,f16+fp8+fp8+fp8,none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute,22528.0,192.6783905029297,2734.482177734375,0.9211774553571429,0.1107700892857143,3,pass
