candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
post_g1_chain,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,f16+fp8+fp8+fp8,none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute,51200.0,484.0526428222656,1338.2205810546875,0.9770208864795918,0.7472496811224489,7,pass
post_g1_no_outacc,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_output+gemm2_operands,f16+fp8+fp8,none+block+block,storage_compute+storage_compute+storage_compute,24064.0,130.5238037109375,898.4918212890625,0.9799505739795918,0.7670200892857143,7,pass
post_g1_no_g2in,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_output+out_accumulator,f16+fp8+fp8,none+block+tensor,storage_compute+storage_compute+storage_compute,47104.0,1375.3157958984375,1125.7666015625,0.9831592793367347,0.752670599489796,7,pass
post_g1_plus_hidden,targeted,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant+gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,fp8+f16+fp8+fp8+fp8,block+none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute+storage_compute,61440.0,1373.3157958984375,1689.4715576171875,0.9685307716836735,0.7409319196428572,7,pass
post_g1_chain,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,f16+fp8+fp8+fp8,none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute,22528.0,192.6783905029297,2734.482177734375,0.9211774553571429,0.1107700892857143,3,pass
post_g1_no_outacc,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands+swiglu_output+gemm2_operands,f16+fp8+fp8,none+block+block,storage_compute+storage_compute+storage_compute,13824.0,142.50753784179688,1886.329345703125,0.9313616071428571,0.1821986607142857,3,pass
post_g1_no_g2in,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,gemm1_operands+swiglu_output+out_accumulator,f16+fp8+fp8,none+block+tensor,storage_compute+storage_compute+storage_compute,21504.0,43.060302734375,2281.086669921875,0.9390345982142857,0.1307198660714286,3,pass
post_g1_plus_hidden,targeted,1,e05c6c03-5603-4a1c-b34c-dcce0ecaeea4,1,hidden_dequant+gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,fp8+f16+fp8+fp8+fp8,block+none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute+storage_compute,18816.0,59.9378547668457,3454.138427734375,0.8893694196428571,0.0901227678571429,3,catastrophic_outlier
post_g1_chain,targeted,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands+swiglu_output+gemm2_operands+out_accumulator,f16+fp8+fp8+fp8,none+block+block+tensor,storage_compute+storage_compute+storage_compute+storage_compute,51200.0,647.8817138671875,1595.987548828125,0.9671587262834821,0.6401105608258928,22,pass
post_g1_no_outacc,targeted,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands+swiglu_output+gemm2_operands,f16+fp8+fp8,none+block+block,storage_compute+storage_compute+storage_compute,25600.0,590.0752563476562,1116.634765625,0.9703935895647321,0.666351318359375,22,pass
post_g1_no_g2in,targeted,2,6230e838-67ca-41dd-a9d6-6f36b7676c6b,32,gemm1_operands+swiglu_output+out_accumulator,f16+fp8+fp8,none+block+tensor,storage_compute+storage_compute+storage_compute,51200.0,653.0386962890625,1345.5533447265625,0.9758257184709821,0.6478053501674107,22,pass
