candidate,search_phase,workload_index,workload_uuid,seq_len,stage,mode,scale_mode,scope,max_abs,max_rel,mean_abs,matched_ratio_contest,matched_ratio_strict,selected_experts,failure_label
baseline__fp32,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,baseline,fp32,none,storage_compute,0.0,0.0,0.0,1.0,1.0,0,pass
gemm1_operands__f16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands,f16,none,storage_compute,2048.0,6.8947367668151855,10.840715408325195,0.9998405612244898,0.9925063775510204,7,pass
gemm1_accumulator__f16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator,f16,none,storage_compute,2048.0,26.228069305419922,44.40148162841797,0.9990234375,0.9685108418367347,7,pass
gemm2_accumulator__bf16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator,bf16,none,storage_compute,4096.0,16.824562072753906,118.94877624511719,0.9977080676020408,0.9305046237244898,7,pass
swiglu_output__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_output,fp8,block,storage_compute,13312.0,524.2280883789062,604.5715942382812,0.9862085459183674,0.7871492346938775,7,pass
gemm2_operands__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_operands,fp8,block,storage_compute,24576.0,136.11111450195312,896.2877807617188,0.9796715561224489,0.7671994579081632,7,pass
out_accumulator__fp8__tensor,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,out_accumulator,fp8,tensor,storage_compute,38912.0,872.2982177734375,911.7367553710938,0.9907326211734694,0.7627152423469388,7,pass
swiglu_input__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,swiglu_input,fp8,block,storage_compute,20480.0,273.84210205078125,998.41455078125,0.977180325255102,0.7625956632653061,7,pass
hidden_dequant__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,hidden_dequant,fp8,block,storage_compute,22528.0,587.3508911132812,1003.0771484375,0.9776187818877551,0.7600645727040816,7,pass
gemm1_operands__f16+gemm1_accumulator__f16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+gemm1_accumulator,f16+f16,none+none,storage_compute+storage_compute,2048.0,6.8947367668151855,10.840715408325195,0.9998405612244898,0.9925063775510204,7,pass
gemm1_operands__f16+gemm2_accumulator__bf16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+gemm2_accumulator,f16+bf16,none+none,storage_compute+storage_compute,4096.0,15.210526466369629,120.4480972290039,0.9976482780612245,0.9285913584183674,7,pass
gemm1_operands__f16+swiglu_output__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_output,f16+fp8,none+block,storage_compute+storage_compute,12844.0,490.5438537597656,605.8006591796875,0.9860690369897959,0.7883649553571428,7,pass
gemm1_operands__f16+gemm2_operands__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+gemm2_operands,f16+fp8,none+block,storage_compute+storage_compute,24064.0,130.5238037109375,898.4918212890625,0.9799505739795918,0.7670200892857143,7,pass
gemm1_operands__f16+out_accumulator__fp8__tensor,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+out_accumulator,f16+fp8,none+tensor,storage_compute+storage_compute,38912.0,872.2982177734375,911.7169799804688,0.9906529017857143,0.7627949617346939,7,pass
gemm1_operands__f16+swiglu_input__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+swiglu_input,f16+fp8,none+block,storage_compute+storage_compute,21504.0,340.08770751953125,1001.2266235351562,0.9771603954081632,0.7625159438775511,7,pass
gemm1_operands__f16+hidden_dequant__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_operands+hidden_dequant,f16+fp8,none+block,storage_compute+storage_compute,22528.0,569.385986328125,1002.8770751953125,0.9776187818877551,0.7602638711734694,7,pass
gemm1_accumulator__f16+gemm2_accumulator__bf16,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+gemm2_accumulator,f16+bf16,none+none,storage_compute+storage_compute,4096.0,48.122806549072266,127.90304565429688,0.9973094706632653,0.9233298788265306,7,pass
gemm1_accumulator__f16+swiglu_output__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+swiglu_output,f16+fp8,none+block,storage_compute+storage_compute,12288.0,517.4912109375,607.1688842773438,0.9860491071428571,0.7880261479591837,7,pass
gemm1_accumulator__f16+gemm2_operands__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+gemm2_operands,f16+fp8,none+block,storage_compute+storage_compute,23040.0,150.3333282470703,898.0135498046875,0.9799505739795918,0.7662228954081632,7,pass
gemm1_accumulator__f16+out_accumulator__fp8__tensor,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+out_accumulator,f16+fp8,none+tensor,storage_compute+storage_compute,38912.0,786.9649047851562,915.1716918945312,0.9906927614795918,0.7620376275510204,7,pass
gemm1_accumulator__f16+swiglu_input__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+swiglu_input,f16+fp8,none+block,storage_compute+storage_compute,19456.0,385.0,1001.3807983398438,0.9774593431122449,0.7624960140306123,7,pass
gemm1_accumulator__f16+hidden_dequant__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm1_accumulator+hidden_dequant,f16+fp8,none+block,storage_compute+storage_compute,22528.0,596.3333129882812,1003.8126220703125,0.9773995535714286,0.7596859056122449,7,pass
gemm2_accumulator__bf16+swiglu_output__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator+swiglu_output,bf16+fp8,none+block,storage_compute+storage_compute,12824.0,472.5789489746094,617.28564453125,0.985969387755102,0.7869698660714286,7,pass
gemm2_accumulator__bf16+gemm2_operands__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator+gemm2_operands,bf16+fp8,none+block,storage_compute+storage_compute,24576.0,136.11111450195312,896.2877807617188,0.9796715561224489,0.7671994579081632,7,pass
gemm2_accumulator__bf16+out_accumulator__fp8__tensor,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator+out_accumulator,bf16+fp8,none+tensor,storage_compute+storage_compute,38912.0,786.9649047851562,921.341796875,0.9909917091836735,0.7625358737244898,7,pass
gemm2_accumulator__bf16+swiglu_input__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator+swiglu_input,bf16+fp8,none+block,storage_compute+storage_compute,20480.0,234.54385375976562,1003.8406372070312,0.9769810267857143,0.7623166454081632,7,pass
gemm2_accumulator__bf16+hidden_dequant__fp8__block,exhaustive,0,b8f4f012-a32e-4356-b4e1-7665b3d598af,7,gemm2_accumulator+hidden_dequant,bf16+fp8,none+block,storage_compute+storage_compute,23552.0,636.75439453125,1012.0360107421875,0.9772600446428571,0.7590282206632653,7,pass
