Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.1,249799453,841,297026.7,11177.0,2063,73252933,2828802.9,cudaStreamSynchronize
25.9,189826779,9,21091864.3,13030.0,9415,189718455,63234971.7,cudaHostAlloc
22.9,167962049,29,5791794.8,5371070.0,113451,31960830,5771413.1,cuLibraryLoadData
12.3,90033220,6152,14634.8,2974.0,2393,17969720,277433.1,cudaLaunchKernel
1.3,9383549,60,156392.5,27602.0,2564,448286,190795.3,cudaDeviceSynchronize
1.1,8313849,1197,6945.6,3184.0,1843,595228,36728.3,cudaMemcpyAsync
0.9,6652992,67,99298.4,3765.0,1282,765855,174547.6,cudaMalloc
0.7,5006302,60,83438.4,4186.0,2604,3760230,496460.3,cudaLaunchKernelExC_v11060
0.2,1471109,2,735554.5,735554.5,732295,738814,4609.6,cuModuleLoadFatBinary
0.1,949312,6,158218.7,157627.5,105219,201835,39373.7,cuModuleLoadData
0.1,687009,255,2694.2,2133.0,1362,12419,1519.9,cudaMemsetAsync
0.1,675173,6152,109.7,90.0,70,1202,69.2,cuKernelGetName
0.1,660132,183,3607.3,3315.0,2744,12138,1137.8,cuLaunchKernelEx
0.1,425102,1371,310.1,241.0,70,20050,653.8,cuGetProcAddress_v2
0.1,399653,34,11754.5,4837.5,3135,177317,29574.8,cudaFree
0.0,362588,45,8057.5,8313.0,3886,11057,1423.3,cudaMemcpy
0.0,139160,40,3479.0,3025.0,500,14311,2739.9,cudaEventRecordWithFlags_v11010
0.0,109430,40,2735.8,2623.5,1533,5398,1037.3,cudaEventQuery
0.0,103488,63,1642.7,1171.0,351,7101,1442.1,cuLibraryGetKernel
0.0,73310,147,498.7,210.0,160,6650,809.6,cudaStreamIsCapturing_v10000
0.0,70096,50,1401.9,1041.5,190,5298,1365.1,cudaEventCreateWithFlags
0.0,38348,135,284.1,210.0,100,1903,267.1,cuTensorMapEncodeTiled
0.0,25817,30,860.6,586.0,240,2364,674.9,cudaEventDestroy
0.0,23524,47,500.5,351.0,320,3455,615.2,cudaOccupancyMaxActiveClusters_v11070
0.0,12288,2,6144.0,6144.0,3305,8983,4015.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,6778,5,1355.6,731.0,460,2944,1121.9,cuInit
0.0,5351,30,178.4,115.5,70,631,138.3,cuCtxGetId
0.0,4447,3,1482.3,160.0,70,4217,2368.7,cuModuleGetLoadingMode
0.0,3585,4,896.3,591.0,360,2043,789.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,1502,3,500.7,390.0,210,902,359.0,cudaGetDriverEntryPointByVersion_v12050
0.0,1001,2,500.5,500.5,170,831,467.4,cudaGetDeviceProperties_v12000
