Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.8,4195837956,197,21298669.8,10053351.0,2393,163435748,31559012.5,poll
41.7,3193110185,1779,1794890.5,2374.0,1001,1570486905,42511459.1,read
3.0,226184925,915,247196.6,18709.0,1012,16360664,988439.1,ioctl
0.1,9349573,73,128076.3,52349.0,50236,3144482,455916.3,sleep
0.1,9187722,2171,4232.0,3556.0,1011,106140,5270.2,open64
0.1,5365813,74,72511.0,55393.5,9004,927769,105706.9,pthread_create
0.1,5054152,1,5054152.0,5054152.0,5054152,5054152,0.0,nanosleep
0.0,3718500,1128,3296.5,1322.0,1001,653826,27462.2,mmap64
0.0,2632403,1655,1590.6,1112.0,1001,51117,2308.4,munmap
0.0,1579021,819,1928.0,1342.0,1001,73191,3921.0,close
0.0,1504158,220,6837.1,5148.0,1092,54372,5697.5,fgets
0.0,542019,15,36134.6,13040.0,9004,217518,63334.9,sem_timedwait
0.0,291360,49,5946.1,3475.0,1002,44136,7483.6,fopen
0.0,224568,30,7485.6,2839.5,1121,64247,12500.8,write
0.0,189835,31,6123.7,2995.0,1482,37757,7180.3,mmap
0.0,175465,3,58488.3,64998.0,44277,66190,12321.8,waitpid
0.0,126338,18,7018.8,4977.0,1132,23115,6805.5,fwrite_unlocked
0.0,76313,13,5870.2,4707.0,1081,16905,4514.2,open
0.0,71268,1,71268.0,71268.0,71268,71268,0.0,pthread_cond_wait
0.0,45278,10,4527.8,4191.5,1763,8623,2505.3,pipe2
0.0,43568,10,4356.8,3901.0,1282,11928,2919.8,pthread_cond_signal
0.0,41656,18,2314.2,1683.0,1102,10626,2193.0,fclose
0.0,25468,3,8489.3,8612.0,4627,12229,3802.5,socket
0.0,22705,8,2838.1,2243.5,1482,6260,1676.1,fread
0.0,21731,7,3104.4,1582.0,1031,9684,3196.5,fopen64
0.0,19900,10,1990.0,1907.5,1012,3115,732.9,statx
0.0,18578,8,2322.3,2714.0,1032,3595,999.7,flock
0.0,11217,1,11217.0,11217.0,11217,11217,0.0,connect
0.0,10166,2,5083.0,5083.0,2835,7331,3179.2,bind
0.0,6309,2,3154.5,3154.5,2083,4226,1515.3,fputc
0.0,5068,3,1689.3,1613.0,1512,1943,225.4,fwrite
0.0,4196,3,1398.7,1212.0,1172,1812,358.5,dup2
0.0,3184,2,1592.0,1592.0,1242,1942,495.0,fflush
0.0,2834,2,1417.0,1417.0,1091,1743,461.0,sigaction
0.0,2504,1,2504.0,2504.0,2504,2504,0.0,pthread_cond_broadcast
0.0,2454,2,1227.0,1227.0,1072,1382,219.2,fcntl
0.0,1762,1,1762.0,1762.0,1762,1762,0.0,signal
0.0,1753,1,1753.0,1753.0,1753,1753,0.0,pthread_mutex_trylock
0.0,1332,1,1332.0,1332.0,1332,1332,0.0,listen
0.0,1272,1,1272.0,1272.0,1272,1272,0.0,fflush_unlocked
