workload_index,workload_hash,sample,seq_len,routing_ms,dequant_ms,expert_ms,step1_ms,step2_ms,expert_other_ms,out_ms,total_ms
0,b8f4f012,0,7,25.089,0.0,0.578,0.216,0.144,0.218,0.022,26.107
0,b8f4f012,1,7,0.48,0.0,0.288,0.108,0.1,0.07999999999999999,0.012,0.794
0,b8f4f012,2,7,0.088,0.0,0.234,0.102,0.097,0.035,0.011,0.341
0,b8f4f012,3,7,0.09,0.0,0.247,0.1,0.097,0.04999999999999999,0.011,0.353
0,b8f4f012,4,7,0.087,0.0,0.253,0.102,0.098,0.05300000000000002,0.01,0.354
1,e05c6c03,0,1,0.063,0.0,0.183,0.06,0.06,0.063,0.01,0.267
1,e05c6c03,1,1,0.52,0.0,0.174,0.059,0.061,0.05399999999999999,0.01,0.711
1,e05c6c03,2,1,0.066,0.0,0.153,0.059,0.06,0.034,0.009,0.232
1,e05c6c03,3,1,0.065,0.0,0.168,0.059,0.06,0.049000000000000016,0.009,0.247
1,e05c6c03,4,1,0.064,0.0,0.167,0.059,0.059,0.049000000000000016,0.009,0.245
2,6230e838,0,32,0.109,0.0,0.8,0.467,0.287,0.04600000000000004,0.01,1.001
2,6230e838,1,32,0.561,0.0,0.599,0.261,0.279,0.05899999999999994,0.01,1.176
2,6230e838,2,32,0.108,0.0,0.574,0.26,0.279,0.03499999999999992,0.01,0.697
2,6230e838,3,32,0.108,0.0,0.599,0.262,0.282,0.05499999999999999,0.01,0.722
2,6230e838,4,32,0.107,0.0,0.593,0.259,0.281,0.052999999999999936,0.011,0.715
3,8f1ff9f1,0,80,0.141,0.0,1.269,0.764,0.425,0.0799999999999999,0.013,1.784
3,8f1ff9f1,1,80,0.582,0.0,0.961,0.351,0.428,0.182,0.015,1.564
3,8f1ff9f1,2,80,0.144,0.0,0.833,0.34,0.447,0.04599999999999993,0.014,1.011
3,8f1ff9f1,3,80,0.141,0.0,0.837,0.347,0.423,0.067,0.013,0.997
3,8f1ff9f1,4,80,0.141,0.0,0.84,0.344,0.429,0.067,0.011,0.998
4,1a4c6ba1,0,901,0.157,0.0,5.087,2.413,2.549,0.125,0.026,5.632
4,1a4c6ba1,1,901,0.612,0.0,4.76,2.125,2.534,0.10099999999999998,0.026,5.405
4,1a4c6ba1,2,901,0.158,0.0,4.743,2.118,2.553,0.07200000000000051,0.026,4.934
4,1a4c6ba1,3,901,0.159,0.0,4.757,2.116,2.549,0.09199999999999964,0.025,4.947
4,1a4c6ba1,4,901,0.157,0.0,4.702,2.107,2.502,0.09299999999999997,0.026,4.89
5,a7c2bcfd,0,16,0.095,0.0,0.411,0.164,0.181,0.06599999999999998,0.011,0.524
5,a7c2bcfd,1,16,0.542,0.0,0.412,0.166,0.183,0.06299999999999997,0.011,0.973
5,a7c2bcfd,2,16,0.095,0.0,0.388,0.165,0.184,0.03900000000000001,0.011,0.499
5,a7c2bcfd,3,16,0.094,0.0,0.408,0.165,0.186,0.05699999999999997,0.011,0.518
5,a7c2bcfd,4,16,0.095,0.0,0.407,0.165,0.183,0.05899999999999997,0.011,0.518
6,2e69caee,0,15,0.098,0.0,0.238,0.085,0.09,0.06299999999999997,0.011,0.355
6,2e69caee,1,15,0.544,0.0,0.241,0.09,0.089,0.062,0.011,0.804
6,2e69caee,2,15,0.099,0.0,0.21,0.086,0.09,0.034,0.01,0.325
6,2e69caee,3,15,0.096,0.0,0.234,0.088,0.09,0.05600000000000002,0.011,0.346
6,2e69caee,4,15,0.097,0.0,0.232,0.088,0.089,0.05500000000000002,0.011,0.345
7,8cba5890,0,14,0.099,0.0,0.388,0.161,0.16,0.067,0.011,0.506
7,8cba5890,1,14,0.541,0.0,0.392,0.161,0.165,0.066,0.011,0.95
7,8cba5890,2,14,0.098,0.0,0.36,0.158,0.164,0.03799999999999998,0.011,0.475
7,8cba5890,3,14,0.098,0.0,0.388,0.16,0.165,0.063,0.011,0.503
7,8cba5890,4,14,0.103,0.0,0.382,0.159,0.165,0.057999999999999996,0.011,0.502
8,5e8dc11c,0,14107,0.213,0.0,54.278,25.177,28.964,0.13700000000000045,0.285,55.327
8,5e8dc11c,1,14107,0.772,0.0,53.947,24.716,29.128,0.10300000000000153,0.283,55.009
8,5e8dc11c,2,14107,0.217,0.0,53.931,24.683,29.178,0.06999999999999673,0.283,54.436
8,5e8dc11c,3,14107,0.212,0.0,53.616,24.701,28.825,0.08999999999999986,0.283,54.115
8,5e8dc11c,4,14107,0.216,0.0,54.144,24.749,29.306,0.08899999999999864,0.283,54.647
9,58a34f27,0,11948,0.205,0.0,34.703,15.994,18.608,0.10100000000000264,0.242,35.159
9,58a34f27,1,11948,0.744,0.0,35.633,15.889,19.648,0.09600000000000364,0.241,36.624
9,58a34f27,2,11948,0.206,0.0,36.004,16.091,19.845,0.06799999999999784,0.241,36.455
9,58a34f27,3,11948,0.206,0.0,34.755,16.042,18.625,0.08800000000000097,0.241,35.206
9,58a34f27,4,11948,0.205,0.0,35.696,15.902,19.707,0.08699999999999619,0.241,36.146
10,5eadab1e,0,62,0.106,0.0,0.56,0.236,0.279,0.04500000000000004,0.011,0.684
10,5eadab1e,1,62,0.564,0.0,0.579,0.242,0.275,0.061999999999999944,0.012,1.161
10,5eadab1e,2,62,0.106,0.0,0.561,0.238,0.286,0.03700000000000009,0.011,0.683
10,5eadab1e,3,62,0.105,0.0,0.572,0.239,0.278,0.05499999999999994,0.011,0.692
10,5eadab1e,4,62,0.108,0.0,0.571,0.239,0.274,0.05799999999999994,0.011,0.694
11,eedc63b2,0,59,0.108,0.0,0.533,0.233,0.256,0.04400000000000004,0.012,0.66
11,eedc63b2,1,59,0.565,0.0,0.555,0.235,0.258,0.062000000000000055,0.011,1.137
11,eedc63b2,2,59,0.109,0.0,0.532,0.238,0.257,0.03700000000000003,0.011,0.656
11,eedc63b2,3,59,0.109,0.0,0.552,0.235,0.261,0.05600000000000005,0.011,0.677
11,eedc63b2,4,59,0.108,0.0,0.554,0.236,0.261,0.05700000000000005,0.015,0.681
12,e626d3e6,0,58,0.109,0.0,0.769,0.314,0.388,0.067,0.01,0.895
12,e626d3e6,1,58,0.566,0.0,0.781,0.315,0.402,0.064,0.011,1.363
12,e626d3e6,2,58,0.109,0.0,0.755,0.313,0.4,0.04199999999999998,0.011,0.879
12,e626d3e6,3,58,0.109,0.0,0.759,0.313,0.389,0.056999999999999995,0.011,0.883
12,e626d3e6,4,58,0.109,0.0,0.762,0.313,0.39,0.059,0.011,0.887
13,74d7ff04,0,57,0.109,0.0,0.71,0.294,0.349,0.067,0.011,0.837
13,74d7ff04,1,57,0.566,0.0,0.711,0.297,0.351,0.063,0.011,1.293
13,74d7ff04,2,57,0.108,0.0,0.674,0.297,0.341,0.03600000000000003,0.011,0.797
13,74d7ff04,3,57,0.108,0.0,0.702,0.294,0.349,0.059,0.011,0.825
13,74d7ff04,4,57,0.109,0.0,0.706,0.295,0.35,0.061,0.011,0.829
14,4822167c,0,56,0.108,0.0,0.758,0.321,0.369,0.068,0.012,0.885
14,4822167c,1,56,0.566,0.0,0.74,0.322,0.354,0.064,0.011,1.322
14,4822167c,2,56,0.108,0.0,0.718,0.322,0.358,0.03799999999999998,0.011,0.841
14,4822167c,3,56,0.107,0.0,0.73,0.32,0.352,0.057999999999999996,0.011,0.851
14,4822167c,4,56,0.108,0.0,0.736,0.319,0.357,0.06,0.011,0.859
15,81955b1e,0,55,0.108,0.0,0.681,0.282,0.336,0.06300000000000006,0.011,0.808
15,81955b1e,1,55,0.566,0.0,0.68,0.285,0.331,0.06400000000000006,0.011,1.263
15,81955b1e,2,55,0.11,0.0,0.658,0.287,0.333,0.038000000000000034,0.011,0.783
15,81955b1e,3,55,0.11,0.0,0.678,0.285,0.335,0.05800000000000005,0.011,0.803
15,81955b1e,4,55,0.111,0.0,0.678,0.284,0.337,0.05700000000000005,0.01,0.803
16,76010cb4,0,54,0.108,0.0,0.637,0.268,0.306,0.063,0.01,0.764
16,76010cb4,1,54,0.563,0.0,0.649,0.27,0.317,0.062,0.011,1.229
16,76010cb4,2,54,0.108,0.0,0.618,0.268,0.311,0.03899999999999998,0.011,0.741
