workload_index,workload_hash,seq_len,samples_used,status,bench_ms,speedup,avg_routing_ms,median_routing_ms,avg_dequant_ms,median_dequant_ms,avg_expert_ms,median_expert_ms,avg_step1_ms,median_step1_ms,avg_step2_ms,median_step2_ms,avg_expert_other_ms,median_expert_other_ms,avg_out_ms,median_out_ms,avg_total_ms,median_total_ms
0,b8f4f012,7,3,PASSED,0.361,0.69,0.08833333333333333,0.088,0.0,0.0,0.24466666666666667,0.247,0.10133333333333333,0.102,0.09733333333333334,0.097,0.046000000000000006,0.04999999999999999,0.010666666666666666,0.011,0.34933333333333333,0.353
1,e05c6c03,1,3,PASSED,0.25,0.77,0.065,0.065,0.0,0.0,0.16266666666666665,0.167,0.059,0.059,0.059666666666666666,0.06,0.04400000000000001,0.049000000000000016,0.009,0.009,0.24133333333333332,0.245
2,6230e838,32,3,PASSED,0.72,0.44,0.10766666666666667,0.108,0.0,0.0,0.5886666666666667,0.593,0.26033333333333336,0.26,0.2806666666666667,0.281,0.047666666666666614,0.052999999999999936,0.010333333333333333,0.01,0.7113333333333333,0.715
3,8f1ff9f1,80,3,PASSED,1.023,0.4,0.142,0.141,0.0,0.0,0.8366666666666666,0.837,0.3436666666666666,0.344,0.433,0.429,0.05999999999999998,0.067,0.012666666666666666,0.013,1.002,0.998
4,1a4c6ba1,901,3,PASSED,4.933,0.09,0.158,0.158,0.0,0.0,4.734,4.743,2.1136666666666666,2.116,2.5346666666666664,2.549,0.08566666666666671,0.09199999999999964,0.025666666666666667,0.026,4.923666666666667,4.934
5,a7c2bcfd,16,3,PASSED,0.52,0.48,0.09466666666666668,0.095,0.0,0.0,0.40099999999999997,0.407,0.165,0.165,0.18433333333333332,0.184,0.051666666666666645,0.05699999999999997,0.011000000000000001,0.011,0.5116666666666667,0.518
6,2e69caee,15,3,PASSED,0.347,0.6,0.09733333333333334,0.097,0.0,0.0,0.22533333333333336,0.232,0.08733333333333333,0.088,0.08966666666666667,0.09,0.048333333333333346,0.05500000000000002,0.010666666666666666,0.011,0.33866666666666667,0.345
7,8cba5890,14,3,PASSED,0.502,1.48,0.09966666666666667,0.098,0.0,0.0,0.37666666666666665,0.382,0.159,0.159,0.16466666666666666,0.165,0.05299999999999999,0.057999999999999996,0.011000000000000001,0.011,0.49333333333333335,0.502
8,5e8dc11c,14107,3,PASSED,54.412,0.05,0.215,0.216,0.0,0.0,53.897,53.931,24.711,24.701,29.102999999999998,29.178,0.08299999999999841,0.08899999999999864,0.283,0.283,54.39933333333334,54.436
9,58a34f27,11948,3,PASSED,35.947,0.05,0.20566666666666666,0.206,0.0,0.0,35.485,35.696,16.011666666666667,16.042,19.392333333333333,19.707,0.08099999999999834,0.08699999999999619,0.241,0.241,35.93566666666667,36.146
10,5eadab1e,62,3,PASSED,0.698,0.42,0.10633333333333334,0.106,0.0,0.0,0.568,0.571,0.23866666666666667,0.239,0.2793333333333334,0.278,0.04999999999999999,0.05499999999999994,0.011000000000000001,0.011,0.6896666666666667,0.692
11,eedc63b2,59,3,PASSED,0.679,0.47,0.10866666666666668,0.109,0.0,0.0,0.546,0.552,0.2363333333333333,0.236,0.25966666666666666,0.261,0.050000000000000044,0.05600000000000005,0.012333333333333333,0.011,0.6713333333333334,0.677
12,e626d3e6,58,3,PASSED,0.891,0.38,0.109,0.109,0.0,0.0,0.7586666666666666,0.759,0.313,0.313,0.393,0.39,0.05266666666666666,0.056999999999999995,0.011000000000000001,0.011,0.883,0.883
13,74d7ff04,57,3,PASSED,0.825,0.4,0.10833333333333334,0.108,0.0,0.0,0.694,0.702,0.2953333333333333,0.295,0.3466666666666667,0.349,0.05200000000000001,0.059,0.011000000000000001,0.011,0.8170000000000001,0.825
14,4822167c,56,3,PASSED,0.859,0.4,0.10766666666666667,0.108,0.0,0.0,0.7280000000000001,0.73,0.32033333333333336,0.32,0.35566666666666663,0.357,0.05199999999999999,0.057999999999999996,0.011000000000000001,0.011,0.8503333333333334,0.851
15,81955b1e,55,3,PASSED,0.805,0.43,0.11033333333333334,0.11,0.0,0.0,0.6713333333333334,0.678,0.28533333333333327,0.285,0.335,0.335,0.051000000000000045,0.05700000000000005,0.010666666666666666,0.011,0.7963333333333334,0.803
16,76010cb4,54,3,PASSED,0.759,0.42,0.10766666666666667,0.108,0.0,0.0,0.6283333333333333,0.632,0.26866666666666666,0.269,0.30833333333333335,0.308,0.05133333333333332,0.056999999999999995,0.011000000000000001,0.011,0.7513333333333333,0.754
17,fc378037,53,3,PASSED,0.807,0.41,0.108,0.108,0.0,0.0,0.6766666666666667,0.682,0.2866666666666666,0.287,0.33666666666666667,0.336,0.05333333333333338,0.05800000000000005,0.011000000000000001,0.011,0.7996666666666666,0.805
18,f7d6ac7c,52,3,PASSED,0.613,0.45,0.10633333333333334,0.106,0.0,0.0,0.4843333333333333,0.489,0.20633333333333334,0.206,0.228,0.228,0.05000000000000002,0.05700000000000002,0.010333333333333333,0.01,0.6053333333333333,0.612
