local_expert_idx,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18
0,0,0,1,5,16,1,0,0,191,318,1,0,0,0,1,1,1,1,2
1,0,0,2,0,16,0,0,0,168,202,0,0,3,4,1,0,2,0,0
2,1,0,0,1,14,0,0,0,54,95,0,1,0,0,1,0,0,0,2
3,0,0,2,1,5,1,0,1,147,89,0,0,0,0,0,2,0,0,1
4,1,0,1,1,27,0,0,1,646,545,3,2,1,2,4,3,2,2,1
5,1,0,2,4,44,0,0,1,1026,480,0,1,5,3,3,0,3,1,4
6,0,0,0,0,1,0,0,0,247,40,0,0,0,2,0,0,0,0,1
7,0,0,0,1,22,0,0,0,250,276,0,0,2,2,2,1,0,1,0
8,0,0,0,0,5,0,0,0,265,181,1,0,1,1,0,0,0,1,0
9,0,0,0,0,30,0,0,0,672,610,2,1,5,0,1,4,2,2,4
10,1,1,1,6,29,2,2,2,878,842,5,3,2,2,3,3,4,4,3
11,1,0,0,3,37,4,1,0,624,536,16,8,2,1,0,1,2,3,2
12,0,0,1,7,39,2,0,0,706,581,8,2,4,2,3,1,2,0,6
13,0,0,0,2,19,0,0,0,213,192,1,1,0,0,0,2,0,2,1
14,0,0,1,6,26,0,0,1,714,710,1,2,2,4,1,2,3,0,5
15,0,0,1,2,19,0,0,0,752,457,3,0,4,3,2,0,2,2,2
16,1,0,1,2,14,1,0,0,675,628,3,2,1,3,4,8,2,3,1
17,1,0,3,7,65,1,3,0,679,426,1,7,5,6,7,3,0,2,4
18,0,0,0,5,21,0,0,0,210,330,0,2,1,0,1,3,0,0,2
19,0,0,0,5,10,0,0,0,113,109,0,0,0,1,0,0,0,2,0
20,0,0,1,1,24,0,0,0,429,263,0,1,2,4,0,0,4,1,0
21,1,0,2,1,22,0,0,0,204,185,0,0,1,2,2,0,1,1,1
22,0,1,0,9,60,6,3,0,775,642,14,12,3,2,4,4,2,6,1
23,0,0,3,0,14,0,0,1,480,450,1,1,1,3,1,4,4,0,3
24,0,0,1,6,36,4,0,1,572,526,8,2,1,1,1,2,1,1,5
25,0,0,1,1,5,0,1,0,694,207,0,1,4,1,1,1,0,2,2
26,0,0,1,4,24,0,0,0,593,504,1,0,3,0,3,0,1,1,3
27,0,0,1,1,21,0,0,1,429,382,0,0,1,1,1,2,0,3,0
28,0,0,1,4,10,0,0,0,258,192,1,0,1,0,1,3,1,1,0
29,1,0,1,0,31,0,0,0,933,599,1,1,1,7,1,0,4,3,3
30,1,1,4,4,58,0,0,1,915,810,0,4,4,1,4,2,4,4,2
31,0,0,4,9,32,0,0,0,539,766,6,4,2,5,4,5,5,3,2
nonzero_local_experts,10,3,22,26,32,9,5,9,32,32,19,20,26,24,25,21,21,24,25
total_local_routed,10,3,36,98,796,22,10,10,16051,13173,77,58,62,63,57,57,52,52,63
